Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
2.523323250482576996e-01 6.819327049773802945e-04 -1.374267444751208107e-02 1.526219159801629765e-04 7.819029264123976475e+00 -6.520244872845037065e+00 4.627198300716906521e-01
2.524122932008416864e-01 1.308216341375381805e-03 -1.425292446550074574e-02 1.892546051350943242e-04 7.964025003779676481e+00 -6.338236307863742702e+00 4.604716141460571954e-01
2.525000113436473570e-01 2.008011582033554249e-03 -1.479571841901450996e-02 2.292087629308121725e-04 8.113093015082728954e+00 -6.131733792910777581e+00 4.574498403163727578e-01
2.526544173924875070e-01 3.269591138028435980e-03 -1.570653813906852311e-02 2.988100396923091119e-04 8.348372040405706684e+00 -5.754064909872269595e+00 4.507843989958258968e-01
2.528039824289950999e-01 4.523406618531035199e-03 -1.653264112007618927e-02 3.651405123477330502e-04 8.541559560942728169e+00 -5.376060094811708545e+00 4.428244940747993463e-01
2.529242183750852746e-01 5.550510970124750317e-03 -1.715572387115287672e-02 4.175448982974956863e-04 8.671487846587133674e+00 -5.067446696227989378e+00 4.354809147109990342e-01
2.530446396836726897e-01 6.593388156093274097e-03 -1.774276864839156517e-02 4.691075676912145323e-04 8.779067500827210324e+00 -4.757271674406743145e+00 4.274025548036967659e-01
2.531898695459156579e-01 7.866222252013893232e-03 -1.840156944095371755e-02 5.299529012358066699e-04 8.879659741117251315e+00 -4.385571881374586312e+00 4.168650709268656440e-01
2.533474924847953780e-01 9.261453200173698150e-03 -1.905648605555261554e-02 5.942115444261935600e-04 8.954741670998931369e+00 -3.989664137367956442e+00 4.046745334974191644e-01
2.535074668063531100e-01 1.068683721723694656e-02 -1.965878381411457002e-02 6.574327777182773684e-04 8.997686978728363982e+00 -3.600262233501153819e+00 3.917558256776056957e-01
2.536673686299731889e-01 1.211597408060672426e-02 -2.020026811451385365e-02 7.185486184953894040e-04 9.010790444273537148e+00 -3.227066825715828369e+00 3.785350072047132808e-01
2.538289146594850942e-01 1.355976665108905160e-02 -2.068866506498818342e-02 7.781522923909221833e-04 8.997729750259132686e+00 -2.868856384911284252e+00 3.650803091223050467e-01
2.539937688142652195e-01 1.502903767483575528e-02 -2.112956812406676516e-02 8.367576930200676952e-04 8.961299023229189586e+00 -2.524465075782394763e+00 3.514348214714390628e-01
2.541633133322324656e-01 1.653216589747944637e-02 -2.152617301809238437e-02 8.947209279321794448e-04 8.903720025026839124e+00 -2.193406867755641976e+00 3.376487422581651576e-01
2.543387514744162026e-01 1.807580949660668457e-02 -2.188006689721171474e-02 9.522898257835522590e-04 8.826905281172448881e+00 -1.875629359337930957e+00 3.237783355457019008e-01
2.545212542522912180e-01 1.966607779336729603e-02 -2.219185503798581580e-02 1.009660556302164822e-03 8.732565073289109137e+00 -1.571209507290947993e+00 3.098780796918664815e-01
2.547120220563440229e-01 2.130895701782923451e-02 -2.246139734577999592e-02 1.066998447609767385e-03 8.622259440640648975e+00 -1.280257989344951719e+00 2.959987855367857135e-01
2.549123052024317992e-01 2.301037849734321322e-02 -2.268790026486028344e-02 1.124443191501193302e-03 8.497440489746590941e+00 -1.002904571783905352e+00 2.821883739065393915e-01
2.551234039369308926e-01 2.477611870200007588e-02 -2.286996915624075685e-02 1.182107749970353130e-03 8.359495196201681466e+00 -7.393055751412443977e-01 2.684934609232885183e-01
2.553467095282327404e-01 2.661204925129675644e-02 -2.300569027867213623e-02 1.240088451993389632e-03 8.209751780161935741e+00 -4.895933110268748667e-01 2.549577396685875352e-01
2.555837248179047561e-01 2.852419941958799637e-02 -2.309265728452197450e-02 1.298467626210601366e-03 8.049489383988300162e+00 -2.538644315861277034e-01 2.416218756490556840e-01
2.558360495572765125e-01 3.051853296715393432e-02 -2.312798311657371028e-02 1.357307436259069756e-03 7.879967001930928916e+00 -3.220078429625422567e-02 2.285251559819963807e-01
2.561053950923459777e-01 3.260097455658986232e-02 -2.310834058980539354e-02 1.416651956934190850e-03 7.702427349240597465e+00 1.753496123866191969e-01 2.157049442291819885e-01
2.563935755725344490e-01 3.477725832163979652e-02 -2.303000473689297348e-02 1.476524163839175842e-03 7.518110025960440979e+00 3.687732175092341969e-01 2.031970828571393051e-01
2.567025079651702457e-01 3.705286362209148782e-02 -2.288891026442226029e-02 1.536925975703892647e-03 7.328251785340867741e+00 5.481044492260955803e-01 1.910354493456579705e-01
2.570341944628825037e-01 3.943284092472089386e-02 -2.268072734119427197e-02 1.597835787214995154e-03 7.134090544260300426e+00 7.134308081152410663e-01 1.792519309044105502e-01
2.573822729614916871e-01 4.186360683346670303e-02 -2.240817595462125944e-02 1.657801843140561688e-03 6.941389116071730037e+00 8.615977753858860000e-01 1.681309482237369479e-01
2.577431986220778959e-01 4.431590914391584507e-02 -2.207567136725918991e-02 1.716137380752448408e-03 6.753366105454231771e+00 9.924666044166835510e-01 1.577720997102506351e-01
2.581143304220291368e-01 4.676955774626018886e-02 -2.168865554717470598e-02 1.772455698508409354e-03 6.572042978882447706e+00 1.106993268661438767e+00 1.482000454415505486e-01
2.584904943226175034e-01 4.919054827836245175e-02 -2.125664615650136452e-02 1.826124866809684076e-03 6.399979842675776354e+00 1.205868337842780580e+00 1.394657259312748476e-01
2.588078771767449715e-01 5.118473016320916613e-02 -2.086538181316634905e-02 1.868984956830713803e-03 6.263384284908364741e+00 1.277979292366745234e+00 1.327578890643945908e-01
2.591246234294665163e-01 5.313319247247479116e-02 -2.045367441637501935e-02 1.909738467091081542e-03 6.134365170171374615e+00 1.341155955959925317e+00 1.265960343873003269e-01
2.594967696791488643e-01 5.537218726237672084e-02 -1.994631436145411288e-02 1.955253503839987639e-03 5.991445615388201418e+00 1.405772142848064732e+00 1.199585322923924363e-01
2.599298359279210713e-01 5.791352760371445973e-02 -1.932818642780894866e-02 2.005284321447394283e-03 5.835972167781338094e+00 1.469903528370716472e+00 1.129528202699841832e-01
2.604147784703251256e-01 6.068297667105192195e-02 -1.860610855036979108e-02 2.057924121383472322e-03 5.674430672265881270e+00 1.529986008905278805e+00 1.059005912498465762e-01
2.609512210223325912e-01 6.365963625164908213e-02 -1.777680469592571311e-02 2.112421754417564621e-03 5.509575733539440634e+00 1.584645906364210877e+00 9.893236577501345053e-02
2.615404811569271293e-01 6.683256063173319272e-02 -1.683569544758719769e-02 2.168259455363455348e-03 5.343340249226831595e+00 1.633153335513836124e+00 9.213084663522365381e-02
2.621851448380395633e-01 7.019746662025426465e-02 -1.577716169791535880e-02 2.225066830921116137e-03 5.177109508185431253e+00 1.675181951239013589e+00 8.554779942271671656e-02
