Time(ND) X(ND) Y(ND) Z(ND) VX(ND) VY(ND) VZ(ND)
0.000000000000000000e+00 1.007028092213784420e+00 -1.796649513371903733e-04 -1.605582056023635408e-05 -5.290973277083704102e-03 -1.495395915878578119e+00 1.881326667431862110e-01
1.727810858481129317e-04 1.007039101093272437e+00 -4.378134956179518481e-04 1.644559059468745290e-05 7.158145921205406881e-02 -1.492114543226022549e+00 1.880016428607691470e-01
4.285178454052213093e-04 1.007079716125151903e+00 -8.180479721743750968e-04 6.440651718282974477e-05 1.848096125188250227e-01 -1.480129933649103613e+00 1.869032777554987534e-01
6.846221700153591778e-04 1.007149259591633372e+00 -1.194670002907102183e-03 1.120166332524192312e-04 2.969626770195498700e-01 -1.459667578707394275e+00 1.847276792217864561e-01
9.405468923043722130e-04 1.007247215267873974e+00 -1.564720077814302657e-03 1.589000721819868280e-04 4.071593957337483194e-01 -1.430879626598741128e+00 1.814909349615963230e-01
1.196329431217079938e-03 1.007372982512736881e+00 -1.926152609126355244e-03 2.047956375268566033e-04 5.147906854491294260e-01 -1.393942766350967144e+00 1.772132869244527897e-01
1.452038891697817477e-03 1.007525840631049219e+00 -2.277015116056861025e-03 2.494534731656784170e-04 6.192752124165525895e-01 -1.349068843352869251e+00 1.719195695734629381e-01
1.707485166617687651e-03 1.007704750360716162e+00 -2.615071237641476004e-03 2.925869832373010466e-04 7.199471271978107323e-01 -1.296563114539520001e+00 1.656461662319577421e-01
1.962904412323213024e-03 1.007908812272461541e+00 -2.938731933932662525e-03 3.339915517666786873e-04 8.163333713493952093e-01 -1.236689699860734848e+00 1.584250016854103493e-01
2.218201567624205825e-03 1.008136766593947575e+00 -3.246050936769526857e-03 3.734164917852599258e-04 9.078545257957589820e-01 -1.169818380809373171e+00 1.503010138187143852e-01
2.473480313237260472e-03 1.008387388799297568e+00 -3.535421299623774539e-03 4.106540239808252352e-04 9.940322399104780660e-01 -1.096308511866840973e+00 1.413182249942719071e-01
2.733467648969235397e-03 1.008664473643230641e+00 -3.810005996629657263e-03 4.461130654107381757e-04 1.075808774112113175e+00 -1.015047460851542072e+00 1.313397224083075188e-01
2.999748351292031920e-03 1.008969412792451115e+00 -4.068509612665381636e-03 4.796333925270565199e-04 1.152798756330876806e+00 -9.256278179580859078e-01 1.203130346515286914e-01
3.272766626872100973e-03 1.009302325273607304e+00 -4.308018159595959976e-03 5.108468165429267197e-04 1.224134853152088587e+00 -8.280154649884701179e-01 1.082312420841099188e-01
3.556602369532130877e-03 1.009667865571631573e+00 -4.527951923147135668e-03 5.396932532856005531e-04 1.289645143880275180e+00 -7.208466461866563924e-01 9.492199894994801657e-02
3.829159879361435613e-03 1.010035176016373937e+00 -4.709846534434728414e-03 5.637491445080388894e-04 1.343830135576218554e+00 -6.131681662463746019e-01 8.150951598444726443e-02
4.101118019531366059e-03 1.010415189304081807e+00 -4.861540792582237820e-03 5.840351525635004626e-04 1.389024934877655548e+00 -5.017744459943191959e-01 6.759758256580399027e-02
4.372623663494826750e-03 1.010805587639399761e+00 -4.982316016263138928e-03 6.004527137858775348e-04 1.425015755580193666e+00 -3.873447776956843169e-01 5.327185582504673222e-02
4.643936069864973600e-03 1.011204197760297241e+00 -5.071623872033763705e-03 6.129253657642872973e-04 1.451639534338302839e+00 -2.705160262614764721e-01 3.861281866643229144e-02
4.915003350549846349e-03 1.011608369069684876e+00 -5.128953549462649322e-03 6.213801123849713821e-04 1.468744327038950859e+00 -1.520648950599160221e-01 2.371865096685719237e-02
5.185960900529570060e-03 1.012015704887023526e+00 -5.154031697692428027e-03 6.257748632707534411e-04 1.476248892995327466e+00 -3.269359964377360761e-02 8.678365730405070144e-03
5.456892265221297694e-03 1.012423722521796021e+00 -5.146732170556528319e-03 6.260860210334848316e-04 1.474115791336534587e+00 8.687049440052987959e-02 -6.415708827666098853e-03
5.727777264429902322e-03 1.012829782611406770e+00 -5.107117437681839116e-03 6.223134947250011893e-04 1.462363698364373077e+00 2.058541681526651346e-01 -2.146528548238953865e-02
5.998696573000680300e-03 1.013231409781882641e+00 -5.035433382401443593e-03 6.144810116704334463e-04 1.441065888340400614e+00 3.235323088015152337e-01 -3.637798663071772909e-02
6.269797155605485658e-03 1.013626245837855766e+00 -4.932063904447198111e-03 6.026302458919198307e-04 1.410336715827360088e+00 4.392141776903196182e-01 -5.106565810201639521e-02
6.541249049646575761e-03 1.014011984868540717e+00 -4.797516265586622940e-03 5.868187712375264433e-04 1.370327248739820591e+00 5.522243864212360576e-01 -6.544198611681815991e-02
6.812974469194909774e-03 1.014386004491671045e+00 -4.632588670856581207e-03 5.671400884610166638e-04 1.321275112638566673e+00 6.617948657227982201e-01 -7.940872763652476185e-02
7.085218402703642032e-03 1.014746176878510431e+00 -4.438066111206776486e-03 5.436876934215698932e-04 1.263414041906353980e+00 7.673024643840461456e-01 -9.288595944547334282e-02
7.357905957028585374e-03 1.015089996282972695e+00 -4.215107337869715767e-03 5.166012581120239377e-04 1.197088974359274083e+00 8.680133534774133741e-01 -1.057795031805219138e-01
7.631423378372128793e-03 1.015415594367616858e+00 -3.964652343478346393e-03 4.859949457935243454e-04 1.122579801824033385e+00 9.633804437546419353e-01 -1.180189558188332183e-01
7.905788030587963117e-03 1.015720684602123836e+00 -3.688079374674804560e-03 4.520370965989890842e-04 1.040296815356846372e+00 1.052734176291963530e+00 -1.295181296263387127e-01
8.181172927169921144e-03 1.016003229505739291e+00 -3.386780028560865737e-03 4.148986373244442204e-04 9.506543097554207566e-01 1.135477972186683893e+00 -1.402000737268026820e-01
8.458148881347053033e-03 1.016261595735966861e+00 -3.061801848844128079e-03 3.747085000725806935e-04 8.539642395835433941e-01 1.211133623478107157e+00 -1.500030806811109840e-01
8.736897635540190332e-03 1.016493740657991474e+00 -2.714724448382438773e-03 3.316616419870074676e-04 7.506968867470013018e-01 1.279103084088861531e+00 -1.588499305360767666e-01
9.018114064252413103e-03 1.016698014294721508e+00 -2.346606768655956805e-03 2.858887674211649027e-04 6.411676431136064114e-01 1.338903299504994981e+00 -1.666783517080603627e-01
9.302299989221551879e-03 1.016872482435817071e+00 -1.958845968237207715e-03 2.375625835619194902e-04 5.257925579509443725e-01 1.389968006034802750e+00 -1.734153354411904213e-01
9.587613568248250576e-03 1.017014092817373871e+00 -1.556351016331485298e-03 1.872949320543828243e-04 4.060326310322074361e-01 1.431403868300968663e+00 -1.789440312277192080e-01
9.872578852355578388e-03 1.017120978019263156e+00 -1.143992546677263930e-03 1.356961306476159453e-04 2.833374929112827956e-01 1.462664715251597025e+00 -1.831916063229134528e-01
